web-scraper-order,web-scraper-start-url,Competition_selector,Competition_selector-href,Fixtures_selector,Fixtures_selector-href,Match_data
"1554129953-1139","https://www.world.rugby/sevens-series/standings/mens?series=5","Dubai","https://www.world.rugby/sevens-series/stage/1421/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1421/fixtures","<div class=""info""><span>2003/04 IRB Sevens World Series - Dubai, </span><span>Cup Quarter Finals, </span><span>Match 30</span></div><div class=""match""> <div class=""tLogo RSA""></div>   <div class=""teamName left"">South Africa 7s</div><div class=""teamNameAbr left"">RSA</div><div class=""result left"">   19 - 17 </div><div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""tLogo second FIJ""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554128974-135","https://www.world.rugby/sevens-series/standings/mens?series=28","Vancouver","https://www.world.rugby/sevens-series/stage/1882/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1882/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2019- Vancouver , </span><span>Pool B, </span><span>Match 22</span></div><div class=""match""> <div class=""tLogo SAM""></div>   <div class=""teamName left"">Samoa 7s</div><div class=""teamNameAbr left"">SAM</div><div class=""result left"">   17 - 31 </div><div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""tLogo second FIJ""></div></div><div class=""info info--venue"">BC Place, Vancouver</div><div class=""matchBtns""> </div>"
"1554128938-30","https://www.world.rugby/sevens-series/standings/mens?series=29","Kitakyushu","https://www.world.rugby/sevens-series/stage/1890/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1890/fixtures","<div class=""info""><span>HSBC World Rugby Women's Sevens Series 2019 - Kitakyushu, </span><span>Challenge Trophy Final, </span><span>Match 30</span></div><div class=""match""> <div class=""tLogo TBC""></div>   <div class=""teamName left"">Winner M23</div><div class=""teamNameAbr left"">TBC</div><div class=""versus left"">v</div><div class=""teamName left"">Winner M24</div><div class=""teamNameAbr left"">TBC</div><div class=""tLogo second TBC""></div></div>   <div class=""info info--venue""><span class=""dateBoxSub"">Local time kick off 15:26</span>Mikuni World Stadium, Kitakyushu</div><div class=""info""><span class=""dateBoxSub dateBoxSub--local""> Your Time - 07:26, Sun 21 Apr 2019</span></div><div class=""matchBtns""></div>"
"1554129122-300","https://www.world.rugby/sevens-series/standings/mens?series=24","Dubai","https://www.world.rugby/sevens-series/stage/1719/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1719/fixtures","<div class=""info""><span>HSBC World Rugby Women's Sevens Series 2016-17 - Dubai, </span><span>Pool A, </span><span>Match 18</span></div><div class=""match""> <div class=""tLogo AUS""></div>   <div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""result left"">   19 - 10 </div><div class=""teamName left"">USA 7s</div><div class=""teamNameAbr left"">USA</div><div class=""tLogo second USA""></div></div><div class=""info info--venue"">The Sevens, Dubai</div><div class=""matchBtns""> </div>"
"1554129337-507","https://www.world.rugby/sevens-series/standings/mens?series=21","Dubai","https://www.world.rugby/sevens-series/stage/1629/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1629/fixtures","<div class=""info""><span>2015/16 HSBC World Rugby Women's Sevens Series - Dubai, </span><span>Pool C, </span><span>Match 11</span></div><div class=""match""> <div class=""tLogo AUS""></div>   <div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""result left"">   43 - 0 </div><div class=""teamName left"">Japan 7s</div><div class=""teamNameAbr left"">JPN</div><div class=""tLogo second JPN""></div></div><div class=""info info--venue"">The Sevens, Dubai</div><div class=""matchBtns""> </div>"
"1554129588-695","https://www.world.rugby/sevens-series/standings/mens?series=15","Dubai","https://www.world.rugby/sevens-series/stage/1506/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1506/fixtures","<div class=""info""><span>2013/14 IRB Sevens World Series - Dubai, </span><span>Cup Quarter Finals, </span><span>Match 29</span></div><div class=""match""> <div class=""tLogo NZL""></div>   <div class=""teamName left"">New Zealand 7s</div><div class=""teamNameAbr left"">NZL</div><div class=""result left"">   26 - 19 </div><div class=""teamName left"">Argentina 7s</div><div class=""teamNameAbr left"">ARG</div><div class=""tLogo second ARG""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129290-455","https://www.world.rugby/sevens-series/standings/mens?series=22","Sydney","https://www.world.rugby/sevens-series/stage/1687/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1687/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2016-17 - Sydney, </span><span>Pool B, </span><span>Match 4</span></div><div class=""match""> <div class=""tLogo FIJ""></div>   <div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""result left"">   40 - 0 </div><div class=""teamName left"">Samoa 7s</div><div class=""teamNameAbr left"">SAM</div><div class=""tLogo second SAM""></div></div><div class=""info info--venue"">Allianz Stadium, Sydney</div><div class=""matchBtns""> </div>"
"1554129848-967","https://www.world.rugby/sevens-series/standings/mens?series=8","George","https://www.world.rugby/sevens-series/stage/1447/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1447/fixtures","<div class=""info""><span>2006/07 IRB Sevens World Series - George, </span><span>Shield Semi Finals, </span><span>Match 34</span></div><div class=""match""> <div class=""tLogo SCO""></div>   <div class=""teamName left"">Scotland 7s</div><div class=""teamNameAbr left"">SCO</div><div class=""result left"">   19 - 26 </div><div class=""teamName left"">Zimbabwe 7s</div><div class=""teamNameAbr left"">ZIM</div><div class=""tLogo second ZIM""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554128992-208","https://www.world.rugby/sevens-series/standings/mens?series=28","Sydney","https://www.world.rugby/sevens-series/stage/1880/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1880/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2019- Sydney, </span><span>Pool D, </span><span>Match 5</span></div><div class=""match""> <div class=""tLogo AUS""></div>   <div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""result left"">   14 - 29 </div><div class=""teamName left"">Argentina 7s</div><div class=""teamNameAbr left"">ARG</div><div class=""tLogo second ARG""></div></div><div class=""info info--venue"">Spotless Stadium, Sydney</div><div class=""matchBtns""> </div>"
"1554129735-862","https://www.world.rugby/sevens-series/standings/mens?series=11","Las Vegas","https://www.world.rugby/sevens-series/stage/1475/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1475/fixtures","<div class=""info""><span>2009/10 IRB Sevens World Series - Las Vegas, </span><span>Pool A, </span><span>Match 17</span></div><div class=""match""> <div class=""tLogo FRA""></div>   <div class=""teamName left"">France 7s</div><div class=""teamNameAbr left"">FRA</div><div class=""result left"">   12 - 12 </div><div class=""teamName left"">Guyana 7s</div><div class=""teamNameAbr left"">GUY</div><div class=""tLogo second GUY""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129122-306","https://www.world.rugby/sevens-series/standings/mens?series=24","Dubai","https://www.world.rugby/sevens-series/stage/1719/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1719/fixtures","<div class=""info""><span>HSBC World Rugby Women's Sevens Series 2016-17 - Dubai, </span><span>Challenge Trophy Semi Finals, </span><span>Match 24</span></div><div class=""match""> <div class=""tLogo USA""></div>   <div class=""teamName left"">USA 7s</div><div class=""teamNameAbr left"">USA</div><div class=""result left"">   5 - 28 </div><div class=""teamName left"">Ireland 7s</div><div class=""teamNameAbr left"">IRE</div><div class=""tLogo second IRE""></div></div><div class=""info info--venue"">The Sevens, Dubai</div><div class=""matchBtns""> </div>"
"1554129844-919","https://www.world.rugby/sevens-series/standings/mens?series=8","Wellington","https://www.world.rugby/sevens-series/stage/1446/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1446/fixtures","<div class=""info""><span>2006/07 IRB Sevens World Series - Wellington, </span><span>Cup Quarter Finals, </span><span>Match 30</span></div><div class=""match""> <div class=""tLogo NZL""></div>   <div class=""teamName left"">New Zealand 7s</div><div class=""teamNameAbr left"">NZL</div><div class=""result left"">   14 - 7 </div><div class=""teamName left"">England 7s</div><div class=""teamNameAbr left"">ENG</div><div class=""tLogo second ENG""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129239-367","https://www.world.rugby/sevens-series/standings/mens?series=22","Paris","https://www.world.rugby/sevens-series/stage/1692/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1692/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2016-17 - Paris, </span><span>Pool A, </span><span>Match 6</span></div><div class=""match""> <div class=""tLogo CAN""></div>   <div class=""teamName left"">Canada 7s</div><div class=""teamNameAbr left"">CAN</div><div class=""result left"">   21 - 7 </div><div class=""teamName left"">Japan 7s</div><div class=""teamNameAbr left"">JPN</div><div class=""tLogo second JPN""></div></div><div class=""info info--venue"">Stade Jean Bouin, Paris</div><div class=""matchBtns""> </div>"
"1554129844-911","https://www.world.rugby/sevens-series/standings/mens?series=8","Wellington","https://www.world.rugby/sevens-series/stage/1446/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1446/fixtures","<div class=""info""><span>2006/07 IRB Sevens World Series - Wellington, </span><span>Pool B, </span><span>Match 22</span></div><div class=""match""> <div class=""tLogo RSA""></div>   <div class=""teamName left"">South Africa 7s</div><div class=""teamNameAbr left"">RSA</div><div class=""result left"">   27 - 7 </div><div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""tLogo second AUS""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129914-1052","https://www.world.rugby/sevens-series/standings/mens?series=6","George","https://www.world.rugby/sevens-series/stage/1432/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1432/fixtures","<div class=""info""><span>2004/05 IRB Sevens World Series - George, </span><span>Cup Quarter Finals, </span><span>Match 31</span></div><div class=""match""> <div class=""tLogo FIJ""></div>   <div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""result left"">   17 - 12 </div><div class=""teamName left"">Samoa 7s</div><div class=""teamNameAbr left"">SAM</div><div class=""tLogo second SAM""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
